"Carimbo de data/hora","Sua palavra","Dica 1","Dica 2","Dica 3","Dica 4","Dica 5","Dica 6","Dica 7","Dica 8","Dica 9","Dica 10",desc
"2020/06/16 8:56:33 PM GMT-3","A Gênese","É um livro","Do Kardec","Aborda passagens da Bíblia ","Fala sos Milagres","Tem um outro livro homônimo ","Tem vários capítulos sobre ciência ","Faz parte da codificação ","Último livro escrito por Kardec","Foi adulterado em sua quinta edição ","Faz referência a Moisés ",Livro
"2020/06/16 9:01:35 PM GMT-3","Grupo de Fraternidade Espírita Irmã Scheilla","É uma casa espírita ","Faz parte do Movimento da Fraternidade ","Tem um coral com seu nome","Possui dois endereços ","Leva o nome de uma enfermeira ","Fica em Belo Horizonte ","Cabe apropriadamente 500 pessoas ao mesmo tempo","Possui um abrigo de menores dentro de suas dependências ","Tem um piano em seu salão ","Tem reunião pública todos os dias ",Lugar
"2020/06/16 9:04:02 PM GMT-3","CIFRATER","Seu propósito é reviver o Cristianismo em sua pureza.","É considerada seara de vivência cristã-espírita.","É sede da COMEMOFRA.","Foi fundada em 20/12/1963.","Está situada no Município de Alto Paraíso.","Está situada no Estado de Goiás.","Fica a 213 quilômetros de Brasília.","Modelo de comunidade cristã para o 3º milênio.","Foi planejada para abrigar criaturas com primazia para os desamparados.","Seus moradores são pessoas provenientes dos Grupos da Fraternidade e por estes indicados.",Lugar
"2020/06/16 9:14:13 PM GMT-3","Violetas na janela","É um romance espírita.","Narrado pelo espírito Patrícia.","Psicografado pela médium Vera Lúcia Marinzeck de Carvalho.","Publicado em 1993.","A médium é tia da autora espiritual.","Envolve a Colônia São Sebastião.","É um best-seller brasileiro.","Em 2004 as vendas passaram de um milhão de cópias.","A história deste livro foi adaptada para o teatro.","O nome da obra contém o nome de uma planta.",Licro
"2020/06/16 9:37:28 PM GMT-3","Reencarnação ,"Coisa","Acontece após o espírito passar certo tempo no plano espiritual ","Você pode participar do seu planejamento ou não ","Pode ser compulsória em certos momentos ","12 letras","Tem uma música do Grupo Bem com esse nome","Você só está aqui graças a ela","Pode acontecer na Terra e em diferentes lugares","Jesus fez","Troca do envoltório corporal ",Coisa
"2020/06/16 9:40:48 PM GMT-3","Reencarnação","Coisa","Acontece após o espírito passar certo tempo no plano espiritual ","Você pode participar do seu planejamento ou não ","Pode ser compulsória em certos momentos ","12 letras","Tem uma música do Grupo Bem com esse nome","Você só está aqui graças a ela","Pode acontecer na Terra e em diferentes lugares","Jesus fez","Troca do envoltório corporal ",Coisa
"2020/06/16 9:42:52 PM GMT-3","Jesus","Realizei milagres ","Vim espalhar a palavra de Deus ","Me preparei por muito tempo para poder vir a terra ","Sou exemplo de evolução para vocês ","Andei sobre as águas ","Trouxe a palavra do amor ","Mostrei que Deus é um pai de amor e não de castigos ","Foram criadas religiões sobre mim ","Existem feriados em minha homenagem ","A cruz é usada para me representar ",Pessoas
"2020/06/16 9:46:55 PM GMT-3","Comemofra","Coisa","Lugar maravilhoso (“mágico”)","Parece o deserto, de dia faz um calor sem comparação e de noite um frio que só ","Se não levar lanterninha fica difícil ","Comida deliciosa com uma lasanha verde perfeita ","Se somar todas atuantes o valor dá 30 (acho que fiz a conta certa)","Várias horas que valem ouro","Levamos uma mala que não usamos nem metade do que tem dentro","Compartilhamento de bomba de ar","Canecas lindas de bonitas",Coisa
"2020/06/16 9:59:04 PM GMT-3","Perispírito","Sou parte de você","Ajudo a sua alma se moldar em seu formato ","Estou ""entre"" a alma e o corpo ","Posso ser modificado ","Estou fortemente ligado ao corpo ","Quando você está fora do corpo , posso permanecer na forma do mesmo","A materia da qual sou feita é muito menos densa que a do corpo  ","Meu nome só é sitado no espiritismo ","Posso não ser ligado com a matéria ","Algumas marcas no corpo podem passar para mim ",Coisa
"2020/06/16 10:09:36 PM GMT-3","Grupo da Fraternidade Irmã Ló","As pessoas se sentem muito bem aqui","Tem muitos espíritos","Me criaram na década de 1980","Estou em Minas Gerais","Aqui, eu deixo os jovens sentarem-se no chão","Meu tamanho é pequenino","Levo a fraternidade no meu nome","A Doutrina Espírita e o Evangelho de Jesus são minha base","Minhas paredes têm mais de 60 anos","Meu compromisso é com a alegria",Lugar
"2020/06/16 10:14:46 PM GMT-3","Jair Soares","Tenho quatro filhos","Nasci no interior de Minas Gerais","Nasci em 1910","Desencarnei em 1992","Sou filho de Manoel Luiz e Laura Augusta","Trabalhei como Técnico de Contabilidade","Me casei com Elvira em 1932","Fui um grande trabalhador do Movimento da Fraternidade","Em 1971, fiquei viúvo","Transformei minha casa em um Grupo de Fraternidade",Pessoa
