Carimbo de data/hora,Sua palavra,Dica 1,Dica 2,Dica 3,Dica 4,Dica 5,Dica 6,Dica 7,Dica 8,Dica 9,Dica 10,Categoria
17/06/2020 16:38:09,A Caminho da Luz ,É uma obra psicografada por Chico Xavier.,Foi publicado pela FEB em 1939.,O livro fala sobre a história da civilização.,Foi ditado pelo espírito Emmanuel.,Nos conta a história do mundo desde a gênese até as perspectivas para o futuro.,Possui 25 capítulos.,Nele são citados os habitantes de Capela. ,Seu título nos leva a induzir o assunto do livro nos indicando a evolução e a caminhada rumo ao progresso.,O livro apresenta a importância de cada período histórico vivenciado frente ao crescimento da moral humana.,A obra é um roteiro que nos indica o amor e a luz.,Livro
16/06/2020 20:56:34,A Gênese ,É um livro,Do Kardec,Aborda passagens da Bíblia ,Fala sos Milagres,Tem um outro livro homônimo ,Tem vários capítulos sobre ciência ,Faz parte da codificação ,Último livro escrito por Kardec,Foi adulterado em sua quinta edição ,Faz referência a Moisés ,Livro
19/06/2020 14:52:50,Brasil Coração do Mundo Pátria do Evangelho,Fui psicografado pelo médium Chico Xavier,Tenho autoria atribuída a Humberto de Campos,Fui publicado em 1938,Comento sobre escravidão movimentos nativistas e Independência,"Abordo termos como ""coração espiritual da Terra""",Faço uma interpretação teológica da história,Conto sobre Ismael e seu papel no plano espiritual,Abordo temas como a transferência da árvore do evangelho,Conto a história de uma nação do plano espiritual,Meu objeto principal é um lugar que todos nós conhecemos muito bem,Livro
19/06/2020 10:47:33,Causa e efeito,Lei universal,Nós colhemos o que plantamos.,Princípio fundamental da doutrina,Na civilização Védica conhecido como Karma.,Você é o maestro da sua existência. Você rege a sua sinfonia.,se não A então não B,diagrama de Ishikawa,A cura do cego de nascença (João capítulo 9),"""Se alguém matar à espada é necessário que à espada seja morto"" (Apocalipse 13:10)","""como tu fizeste assim se fará contigo: o teu malfeito tornará sobre a tua cabeça"" (Obadias 1:15)",Coisa
16/06/2020 21:04:03,CIFRATER,Seu propósito é reviver o Cristianismo em sua pureza.,É considerada seara de vivência cristã-espírita.,É sede da COMEMOFRA.,Foi fundada em 20/12/1963.,Está situada no Município de Alto Paraíso.,Está situada no Estado de Goiás.,Fica a 213 quilômetros de Brasília.,Modelo de comunidade cristã para o 3º milênio.,Foi planejada para abrigar criaturas com primazia para os desamparados.,Seus moradores são pessoas provenientes dos Grupos da Fraternidade e por estes indicados.,Lugar
18/06/2020 10:56:58,Colégio Allan Kardec,É um local.,Atendia milhares de pessoas pobres e órfãs.,Fundado em 1902.,Estabelecido na cidade de Sacramento em Minas Gerais.,Projetado e fundado por Eurípedes Barsanulfo.,Atualmente funciona como um museu e memorial à Eurípedes.,Fundamentava-se na pedagogia espírita.,Recebeu o nome do grande codificador da Doutrina Espírita.,Os alunos recebiam aulas de astronomia e orientação evangélica de Eurípedes.,O conhecimento dos alunos no final dos anos letivos eram testados em gincanas.,Lugar
18/06/2020 11:33:35,Comemofra,Coisa,Lugar maravilhoso (“mágico”),Parece o deserto de dia faz um calor sem comparação e de noite um frio que só ,Se não levar lanterninha fica difícil ,Comida deliciosa com uma lasanha verde perfeita ,Se somar todas atuantes o valor dá 30 (acho que fiz a conta certa),Várias horas que valem ouro,Levamos uma mala que não usamos nem metade do que tem dentro,Compartilhamento de bomba de ar,Canecas lindas de bonitas,Coisa
19/06/2020 14:54:05,Deus,Posso ser vários para alguns,Tenho concepções diferentes em diversas culturas,Posso ter vários nomes,As Leis Naturais vieram de mim,Sou tema de debate para vários filósofos,Alguns me veem como criador do universo,Alguns me veem como o próprio universo,"Já disseram que Eu ""estava morto""",Para alguns tenho a imagem de um elefante,10 - Já fui interpretado por alguns atores,Coisa
18/06/2020 22:08:02,Emmanuel,Já fui escravo.,Morri asfixiado nas cinzas tóxicas de um vulcão.,Morra com educação!,Já persegui cristãos mas depois fui ensinar sobre o Cristo para os povos nativos da pátria do Evangelho.,Minha primeira mensagem nas telinhas foi na década de 70 na saudosa TV Tupi.,Minha vida já foi retratada em peças de teatro levando os espíritas aos prantos.,Disciplina disciplina disciplina!,Causo controvérsias no espiritismo ao afirmar que existem almas gêmeas (nota do autor desta dica: não existem),Já levei Chico Xavier fora do corpo para conhecer minhas vidas passadas.,Dizem que estou reencarnado no Estado de São Paulo.,Pessoa
18/06/2020 19:22:10,Espírito,Têm a intuição de Deus mas podem ou não O compreender.,Existe uma música do Grupo Bem que fala sobre mim,É a individualização ou humanização do princípio inteligente do Universo,Podem ser divididos em cinco classes principais,O que o caracteriza essencialmente é a consciência,O corpo não passa de um acessório ,É dotado de razão consciência livre-arbítrio e responsabilidade,Princípio inteligente do universo ,Criado simples e ignorante,Todos somos,Coisa
